City_ID,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
219,Polignano A Mare,IT,71.69,40.9959,17.2159,few clouds,Grotta Palazzese
225,Belmopan,BZ,75.99,17.25,-88.7667,overcast clouds,Villa San Juan
226,Vila Franca Do Campo,PT,71.2,37.7167,-25.4333,overcast clouds,Pestana Bahia Praia
227,Talavera De La Reina,ES,71.47,39.9635,-4.8308,overcast clouds,Be Live City Center Talavera
239,Manavalakurichi,IN,78.24,8.1333,77.3,broken clouds,Jebinrio home
241,Touros,BR,76.73,-5.1989,-35.4608,scattered clouds,INN NEW HORIZON
242,Mayo,US,75.51,38.8876,-76.5119,few clouds,Resorts Resource Group International
244,Hohhot,CN,72.09,40.8106,111.6522,clear sky,Sheraton Hohhot Hotel
248,Halifax,CA,68.0,44.6453,-63.5724,clear sky,Hotel Halifax
251,Pailon,BO,77.58,-17.65,-62.75,scattered clouds,La plaza
253,Linqiong,CN,75.45,30.4159,103.4609,overcast clouds,Tianlun Tanxianglou Hotel
254,Kilindoni,TZ,74.55,-7.9139,39.6668,clear sky,Bustani B&B
257,Pincher Creek,CA,73.56,49.4833,-113.952,haze,BLUE MOUNTAIN MOTEL
259,Madarounfa,NE,76.62,13.3087,7.156,broken clouds,Madarounfa centre ville
260,Miranda De Ebro,ES,72.05,42.6865,-2.947,scattered clouds,Hospedería El Convento
